Time,Action
16:09:20,https://arstconnazureo365.sharepoint.com
16:09:20,Testing SharePoint contact speed
16:09:22,Contact 1 1973 ms
16:09:24,Contact 2 1296 ms
16:09:25,Contact 3 1201 ms
16:09:26,Contact 4 1305 ms
16:09:26,Average contact speed of 1443.75 ms
16:09:26,Authenticating
16:09:26,Downloading Sample Files
16:09:26,Downloading 100kb files
16:09:30,Completed 100kb files
16:09:30,Downloading 5000kb files
16:09:41,Completed 5000kb files
16:09:41,Downloading 2000kb files
16:09:43,Completed 2000kb files
16:09:43,Downloading 200MB files
16:10:45,Completed 200MB files
16:10:47,Document library created
16:10:47,Start of upload
16:11:41,Large_Zip_4.zip.BaseName uploaded
16:11:42,Word_Document_100_1.doc.BaseName uploaded
16:11:43,Word_Document_100_2.doc.BaseName uploaded
16:11:44,Word_Document_100_3.doc.BaseName uploaded
16:11:45,Word_Document_100_4.doc.BaseName uploaded
16:11:47,Word_Document_2000_1.doc.BaseName uploaded
16:11:50,Word_Document_2000_2.doc.BaseName uploaded
16:11:52,Word_Document_2000_3.doc.BaseName uploaded
16:11:55,Word_Document_2000_4.doc.BaseName uploaded
16:11:59,Word_Document_5000_1.doc.BaseName uploaded
16:12:05,Word_Document_5000_2.doc.BaseName uploaded
16:12:10,Word_Document_5000_3.doc.BaseName uploaded
16:12:15,Word_Document_5000_4.doc.BaseName uploaded
16:12:16,End of upload
16:12:16,Testing SharePoint contact speed to new library
16:12:18,Contact 1 2471 ms
16:12:20,Contact 2 1380 ms
16:12:21,Contact 3 1216 ms
16:12:22,Contact 4 1237 ms
16:12:22,Average contact speed of 3019.75 ms
16:12:22,local files deleted
16:12:22,Starting Download from SPO
16:12:23,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:23,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_2.doc has been downloaded
16:12:24,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:24,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_4.doc has been downloaded
16:12:25,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:25,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_3.doc has been downloaded
16:12:25,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:25,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_1.doc has been downloaded
16:12:27,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:27,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_3.doc has been downloaded
16:12:28,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:28,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_3.doc has been downloaded
16:12:31,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:31,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Large_Zip_4.zip has been downloaded
16:12:55,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:55,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_1.doc has been downloaded
16:12:55,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:55,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_4.doc has been downloaded
16:12:55,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:55,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_2000_4.doc has been downloaded
16:12:56,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:56,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_100_2.doc has been downloaded
16:12:56,Microsoft.SharePoint.Client.File.Name has been downloaded
16:12:56,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_1.doc has been downloaded
16:13:00,Microsoft.SharePoint.Client.File.Name has been downloaded
16:13:00,C:\Users\duranand\Documents\MS_AZURE_Files\MS_O365_Tool/Sample_Files/Word_Document_5000_2.doc has been downloaded
16:13:02,Download completed
16:13:02,local files deleted
16:13:03,Document library deleted
